model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
qwen3-8b,gte,eng_Latn-hau_Latn,qwen3-8b|gte|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4446987887262827,0.4125763782163854
qwen3-8b,gte,eng_Latn-hau_Latn,qwen3-8b|gte|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.445632058140553,0.4160621880954904
qwen3-8b,gte,eng_Latn-hau_Latn,qwen3-8b|gte|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.4442487924466491,0.4160621880954904
qwen3-8b,gte,eng_Latn-plt_Latn,qwen3-8b|gte|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5356438567810379,0.4285775783799382
qwen3-8b,gte,eng_Latn-plt_Latn,qwen3-8b|gte|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5345606965568697,0.4285775783799382
qwen3-8b,gte,eng_Latn-plt_Latn,qwen3-8b|gte|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5369668397684342,0.4280238790297697
qwen3-8b,gte,eng_Latn-plt_Latn,qwen3-8b|gte|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5358564801249108,0.4280238790297697
qwen3-8b,gte,eng_Latn-som_Latn,qwen3-8b|gte|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.5018189741158674,0.4586944656645356
qwen3-8b,gte,eng_Latn-som_Latn,qwen3-8b|gte|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4978843988931697,0.4586944656645356
qwen3-8b,gte,eng_Latn-som_Latn,qwen3-8b|gte|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5014452900398861,0.4559351005573046
qwen3-8b,gte,eng_Latn-som_Latn,qwen3-8b|gte|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.4977352260777601,0.4559351005573046
qwen3-8b,gte,eng_Latn-swh_Latn,qwen3-8b|gte|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.5429648511671266,0.4919903050121582
qwen3-8b,gte,eng_Latn-swh_Latn,qwen3-8b|gte|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5409481599926949,0.4919903050121582
qwen3-8b,gte,eng_Latn-swh_Latn,qwen3-8b|gte|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5423713498435944,0.4922457272002819
qwen3-8b,gte,eng_Latn-swh_Latn,qwen3-8b|gte|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5412367922456368,0.4922457272002819
qwen3-8b,gte,eng_Latn-xho_Latn,qwen3-8b|gte|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.5590752726899305,0.4402215585937142
qwen3-8b,gte,eng_Latn-xho_Latn,qwen3-8b|gte|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5586085677618094,0.4402215585937142
qwen3-8b,gte,eng_Latn-xho_Latn,qwen3-8b|gte|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5599132148703567,0.4389141125994709
qwen3-8b,gte,eng_Latn-xho_Latn,qwen3-8b|gte|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.559545882370161,0.4389141125994709
qwen3-8b,sonar,eng_Latn-hau_Latn,qwen3-8b|sonar|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.4479433520303177,0.4162205538082971
qwen3-8b,sonar,eng_Latn-hau_Latn,qwen3-8b|sonar|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4471360552511196,0.4162205538082971
qwen3-8b,sonar,eng_Latn-hau_Latn,qwen3-8b|sonar|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.4485100513037014,0.4156493736880099
qwen3-8b,sonar,eng_Latn-hau_Latn,qwen3-8b|sonar|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.4479009511884257,0.4156493736880099
qwen3-8b,sonar,eng_Latn-plt_Latn,qwen3-8b|sonar|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5376791392743823,0.430137546018885
qwen3-8b,sonar,eng_Latn-plt_Latn,qwen3-8b|sonar|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5368659419740142,0.430137546018885
qwen3-8b,sonar,eng_Latn-plt_Latn,qwen3-8b|sonar|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5384286525751291,0.4304904000679023
qwen3-8b,sonar,eng_Latn-plt_Latn,qwen3-8b|sonar|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5377623843463514,0.4304904000679023
qwen3-8b,sonar,eng_Latn-som_Latn,qwen3-8b|sonar|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.5019422905895079,0.4569600945404867
qwen3-8b,sonar,eng_Latn-som_Latn,qwen3-8b|sonar|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4981667514846259,0.4569600945404867
qwen3-8b,sonar,eng_Latn-som_Latn,qwen3-8b|sonar|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5015329676772294,0.456699181303912
qwen3-8b,sonar,eng_Latn-som_Latn,qwen3-8b|sonar|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.4978865438063625,0.456699181303912
qwen3-8b,sonar,eng_Latn-swh_Latn,qwen3-8b|sonar|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.5372769687133344,0.4889470037558804
qwen3-8b,sonar,eng_Latn-swh_Latn,qwen3-8b|sonar|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5353864431381226,0.4889470037558804
qwen3-8b,sonar,eng_Latn-swh_Latn,qwen3-8b|sonar|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5355298490274565,0.4879424771360258
qwen3-8b,sonar,eng_Latn-swh_Latn,qwen3-8b|sonar|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5338085438364109,0.4879424771360258
qwen3-8b,sonar,eng_Latn-xho_Latn,qwen3-8b|sonar|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.5608976108754576,0.442072194261042
qwen3-8b,sonar,eng_Latn-xho_Latn,qwen3-8b|sonar|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5608551087292287,0.442072194261042
qwen3-8b,sonar,eng_Latn-xho_Latn,qwen3-8b|sonar|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.559410917222971,0.4405297396093489
qwen3-8b,sonar,eng_Latn-xho_Latn,qwen3-8b|sonar|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5591443985877301,0.4405297396093489
