model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,bloomz-7b1-mt|gte|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5200931769048813,0.3758924632821933
bloomz-7b1-mt,gte,eng_Latn-som_Latn,bloomz-7b1-mt|gte|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.5408671473708784,0.3999253608610319
bloomz-7b1-mt,gte,eng_Latn-som_Latn,bloomz-7b1-mt|gte|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5390122061219846,0.3999253608610319
bloomz-7b1-mt,gte,eng_Latn-som_Latn,bloomz-7b1-mt|gte|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5456560502645997,0.4003209481715213
bloomz-7b1-mt,gte,eng_Latn-som_Latn,bloomz-7b1-mt|gte|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5450085032834366,0.4003209481715213
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,bloomz-7b1-mt|gte|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.8069287073088022,0.7621728977843707
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,bloomz-7b1-mt|gte|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.8081443922763522,0.7621728977843707
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,bloomz-7b1-mt|gte|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.8069133688161967,0.7611521182971981
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,bloomz-7b1-mt|gte|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.8082628470694595,0.7611521182971981
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,bloomz-7b1-mt|gte|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.5427328010233259,0.4222085448534121
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,bloomz-7b1-mt|gte|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5434945284760753,0.4222085448534121
