model_tag,retriever,lang_pair,selector_method,num_samples,avg_demo_xcomet,avg_error_penalty,major_or_critical_demo_ratio,avg_original_rank,topk_overlap,source_semantic_diversity,comet22,delta_comet22_vs_topk
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,error_filter,1012,0.694141669651648,1.7201240648958886,0.8087944664031621,5.586709486166008,0.7982954545454546,0.5593282775180377,0.5096946169029583,-0.006960177227206876
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,error_profile_rerank,1012,0.7393116170407932,1.4069602772959025,0.7233201581027668,6.2708745059288535,0.7433300395256917,0.5581660370464961,0.5161880818398102,-0.00046671229035488704
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,low_quality,1012,0.30120595005477074,3.3883780137034947,0.9063735177865613,25.920701581027668,0.1509387351778656,0.5571839222815972,0.4741294493258235,-0.042525344804341614
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,quality_only,1012,0.9042874584305781,0.34550411020302396,0.2507411067193676,25.040266798418973,0.1755187747035573,0.5593397872835895,0.49282293803548155,-0.02383185609468358
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,quality_rerank,1012,0.6407231115091871,1.944414938504016,0.8244812252964426,4.595355731225297,0.9563982213438735,0.5561616333450792,0.5142022663720041,-0.0024525277581610716
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,random_in_topn,1012,0.6124522379818538,2.0961931233345856,0.8414031620553359,25.485795454545453,0.15847332015810275,0.5683979055976242,0.4881259841704557,-0.02852880995970941
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,retriever_topk,1012,0.6234394999049795,2.011852574624946,0.8285573122529645,4.5,1.0,0.5556092163498442,0.5166547941301651,0.0
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,error_filter,1012,0.6355862875354914,1.6244918667282418,0.8157114624505929,5.787672924901186,0.7749505928853755,0.5578549058628304,0.504994990635413,-0.003896084433723357
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,error_profile_rerank,1012,0.640422934831006,1.5350982257182177,0.7553112648221344,5.406744071146245,0.8247282608695652,0.5564605106333012,0.5074032499885606,-0.0014878250805757665
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,low_quality,1012,0.2611433961944058,3.5222473002480976,0.802248023715415,25.649950592885375,0.15180335968379446,0.5665151022052796,0.46858815714834706,-0.04030291792078927
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,quality_only,1012,0.8713187699909267,0.31092243748463,0.37648221343873517,25.1897233201581,0.17057806324110672,0.5667869571921373,0.5013176671306606,-0.007573407938475718
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,quality_rerank,1012,0.5755961210634413,1.9144151238334708,0.8220108695652174,4.594614624505929,0.9570158102766798,0.5558015814315022,0.5069516543078093,-0.0019394207613270265
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,random_in_topn,1012,0.5516445139531606,2.0499926911389155,0.8207756916996047,25.485795454545453,0.15847332015810275,0.5683979055976242,0.48789536901436775,-0.02099570605476858
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,retriever_topk,1012,0.5599081689646475,2.0074969958702207,0.8231225296442688,4.5,1.0,0.5556092163498442,0.5088910750691363,0.0
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,error_filter,1012,0.6434651385981722,1.6923466082655456,0.8520256916996047,6.0455780632411065,0.7427124505928854,0.5592192465209106,0.5275982671339993,0.00572207172515371
