language,split,example_id,original_xcomet,retranslated_xcomet,keep_higher_xcomet,improved,kept_original,bottom20_rank
eng_Latn-hau_Latn,dev,976,0.118140280246735,0.41465625166893,0.41465625166893,1,0,1
eng_Latn-hau_Latn,dev,466,0.120134137570858,0.403951644897461,0.403951644897461,1,0,2
eng_Latn-hau_Latn,dev,534,0.149607375264168,0.484507352113724,0.484507352113724,1,0,3
eng_Latn-hau_Latn,dev,704,0.155750453472137,0.246508553624153,0.246508553624153,1,0,4
eng_Latn-hau_Latn,dev,773,0.164951920509338,0.560346841812134,0.560346841812134,1,0,5
eng_Latn-hau_Latn,dev,465,0.168002679944038,0.383262246847153,0.383262246847153,1,0,6
eng_Latn-hau_Latn,dev,900,0.176523953676224,0.382450222969055,0.382450222969055,1,0,7
eng_Latn-hau_Latn,dev,480,0.177663668990135,0.629591941833496,0.629591941833496,1,0,8
eng_Latn-hau_Latn,dev,893,0.185782685875893,0.29962620139122,0.29962620139122,1,0,9
eng_Latn-hau_Latn,dev,839,0.187302261590958,0.445960819721222,0.445960819721222,1,0,10
eng_Latn-hau_Latn,dev,99,0.188537418842316,0.318713933229446,0.318713933229446,1,0,11
eng_Latn-hau_Latn,dev,161,0.194487646222115,0.155201300978661,0.194487646222115,0,1,12
eng_Latn-hau_Latn,dev,899,0.196079298853874,0.490267753601074,0.490267753601074,1,0,13
eng_Latn-hau_Latn,dev,15,0.19783790409565,0.742865443229675,0.742865443229675,1,0,14
eng_Latn-hau_Latn,dev,515,0.207158163189888,0.706464529037476,0.706464529037476,1,0,15
eng_Latn-hau_Latn,dev,674,0.207489192485809,0.352519392967224,0.352519392967224,1,0,16
eng_Latn-hau_Latn,dev,251,0.20909121632576,0.211930513381958,0.211930513381958,1,0,17
eng_Latn-hau_Latn,dev,707,0.212143033742905,0.639623999595642,0.639623999595642,1,0,18
eng_Latn-hau_Latn,dev,891,0.214214205741882,0.861547350883484,0.861547350883484,1,0,19
eng_Latn-hau_Latn,dev,898,0.219656318426132,0.171678245067596,0.219656318426132,0,1,20
eng_Latn-hau_Latn,dev,918,0.220005229115486,0.904028058052063,0.904028058052063,1,0,21
eng_Latn-hau_Latn,dev,59,0.221790671348572,0.575633525848389,0.575633525848389,1,0,22
eng_Latn-hau_Latn,dev,987,0.222175434231758,0.350318104028702,0.350318104028702,1,0,23
eng_Latn-hau_Latn,dev,847,0.222283586859703,0.626660466194153,0.626660466194153,1,0,24
eng_Latn-hau_Latn,dev,474,0.222809955477715,0.731385469436646,0.731385469436646,1,0,25
eng_Latn-hau_Latn,dev,459,0.223086461424828,0.510150253772736,0.510150253772736,1,0,26
eng_Latn-hau_Latn,dev,103,0.227370381355286,0.664525270462036,0.664525270462036,1,0,27
eng_Latn-hau_Latn,dev,811,0.227873921394348,0.171424433588982,0.227873921394348,0,1,28
eng_Latn-hau_Latn,dev,747,0.230092197656631,0.632391810417175,0.632391810417175,1,0,29
eng_Latn-hau_Latn,dev,554,0.231849953532219,0.522191047668457,0.522191047668457,1,0,30
eng_Latn-hau_Latn,dev,374,0.233854159712791,0.606976628303528,0.606976628303528,1,0,31
eng_Latn-hau_Latn,dev,498,0.234770551323891,0.364959746599197,0.364959746599197,1,0,32
eng_Latn-hau_Latn,dev,543,0.239775538444519,0.210005506873131,0.239775538444519,0,1,33
eng_Latn-hau_Latn,dev,126,0.24018520116806,0.537882506847382,0.537882506847382,1,0,34
eng_Latn-hau_Latn,dev,9,0.242534562945366,0.232761740684509,0.242534562945366,0,1,35
eng_Latn-hau_Latn,dev,10,0.244486808776855,0.701453685760498,0.701453685760498,1,0,36
eng_Latn-hau_Latn,dev,458,0.24512691795826,0.350593984127045,0.350593984127045,1,0,37
eng_Latn-hau_Latn,dev,452,0.245650216937065,0.275080889463425,0.275080889463425,1,0,38
eng_Latn-hau_Latn,dev,383,0.248350992798805,0.817661166191101,0.817661166191101,1,0,39
eng_Latn-hau_Latn,dev,276,0.250281304121017,0.872109532356262,0.872109532356262,1,0,40
eng_Latn-hau_Latn,dev,786,0.251427084207535,0.242365449666977,0.251427084207535,0,1,41
eng_Latn-hau_Latn,dev,823,0.251818776130676,0.427771270275116,0.427771270275116,1,0,42
eng_Latn-hau_Latn,dev,293,0.25199368596077,0.636612772941589,0.636612772941589,1,0,43
eng_Latn-hau_Latn,dev,751,0.253280997276306,0.452444195747375,0.452444195747375,1,0,44
eng_Latn-hau_Latn,dev,102,0.255463272333145,0.628174662590027,0.628174662590027,1,0,45
eng_Latn-hau_Latn,dev,634,0.257680088281631,0.573865473270416,0.573865473270416,1,0,46
eng_Latn-hau_Latn,dev,412,0.25835844874382,0.513810813426971,0.513810813426971,1,0,47
eng_Latn-hau_Latn,dev,734,0.259021878242493,0.462158620357513,0.462158620357513,1,0,48
eng_Latn-hau_Latn,dev,797,0.259560853242874,0.494591593742371,0.494591593742371,1,0,49
eng_Latn-hau_Latn,dev,482,0.26047670841217,0.52904349565506,0.52904349565506,1,0,50
eng_Latn-hau_Latn,dev,356,0.261178553104401,0.430317431688309,0.430317431688309,1,0,51
eng_Latn-hau_Latn,dev,8,0.26200944185257,0.787128210067749,0.787128210067749,1,0,52
eng_Latn-hau_Latn,dev,418,0.264029949903488,0.48136368393898,0.48136368393898,1,0,53
eng_Latn-hau_Latn,dev,100,0.265727460384369,0.725551843643188,0.725551843643188,1,0,54
eng_Latn-hau_Latn,dev,42,0.265835523605347,0.984310388565063,0.984310388565063,1,0,55
eng_Latn-hau_Latn,dev,355,0.267139166593552,0.415052473545074,0.415052473545074,1,0,56
eng_Latn-hau_Latn,dev,122,0.268254369497299,0.766648232936859,0.766648232936859,1,0,57
eng_Latn-hau_Latn,dev,759,0.269070595502853,0.730008482933044,0.730008482933044,1,0,58
eng_Latn-hau_Latn,dev,990,0.27042543888092,0.238754540681839,0.27042543888092,0,1,59
eng_Latn-hau_Latn,dev,890,0.274240761995316,0.577637910842896,0.577637910842896,1,0,60
eng_Latn-hau_Latn,dev,767,0.275932669639587,0.586930274963379,0.586930274963379,1,0,61
eng_Latn-hau_Latn,dev,140,0.278165102005005,0.456155270338058,0.456155270338058,1,0,62
eng_Latn-hau_Latn,dev,730,0.281291216611862,0.696935653686523,0.696935653686523,1,0,63
eng_Latn-hau_Latn,dev,416,0.281497269868851,0.497720152139664,0.497720152139664,1,0,64
eng_Latn-hau_Latn,dev,409,0.281576156616211,0.662973046302795,0.662973046302795,1,0,65
eng_Latn-hau_Latn,dev,566,0.281848400831223,0.433880269527435,0.433880269527435,1,0,66
eng_Latn-hau_Latn,dev,357,0.283646702766418,0.20516999065876,0.283646702766418,0,1,67
eng_Latn-hau_Latn,dev,784,0.284461706876755,0.382461547851563,0.382461547851563,1,0,68
eng_Latn-hau_Latn,dev,506,0.284998089075089,0.76341450214386,0.76341450214386,1,0,69
eng_Latn-hau_Latn,dev,889,0.285602807998657,0.828797340393066,0.828797340393066,1,0,70
eng_Latn-hau_Latn,dev,799,0.286101460456848,0.501301288604736,0.501301288604736,1,0,71
eng_Latn-hau_Latn,dev,569,0.286103338003159,0.543479919433594,0.543479919433594,1,0,72
eng_Latn-hau_Latn,dev,992,0.286565661430359,0.384961158037186,0.384961158037186,1,0,73
eng_Latn-hau_Latn,dev,709,0.286733388900757,0.640158951282501,0.640158951282501,1,0,74
eng_Latn-hau_Latn,dev,101,0.287185728549957,0.378482192754745,0.378482192754745,1,0,75
eng_Latn-hau_Latn,dev,978,0.288580894470215,0.914684116840363,0.914684116840363,1,0,76
eng_Latn-hau_Latn,dev,447,0.289047181606293,0.560516357421875,0.560516357421875,1,0,77
eng_Latn-hau_Latn,dev,500,0.291714131832123,0.539508044719696,0.539508044719696,1,0,78
eng_Latn-hau_Latn,dev,953,0.291823506355286,0.720517754554749,0.720517754554749,1,0,79
eng_Latn-hau_Latn,dev,583,0.292035758495331,0.566526234149933,0.566526234149933,1,0,80
eng_Latn-hau_Latn,dev,802,0.292222678661346,0.64256876707077,0.64256876707077,1,0,81
