model_tag,retriever,lang_pair,num_queries,k,avg_revised_demo_count,query_coverage,revised_demo_ratio,pct_query_0_revised,pct_query_1_revised,pct_query_2_revised,pct_query_3plus_revised,delta_comet22,delta_qe,definition
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,1012,8.0,1.315217391304348,0.7697628458498024,0.1644021739130435,0.2302371541501976,0.3814229249011858,0.2569169960474308,0.1314229249011857,0.0039948971404624,0.0001314424950143,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,1012,8.0,1.2411067193675889,0.7233201581027668,0.1551383399209486,0.2766798418972332,0.3567193675889328,0.2470355731225296,0.1195652173913043,0.0034919135095808,0.0009056902803451,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,1012,8.0,1.424901185770751,0.7806324110671937,0.1781126482213438,0.2193675889328063,0.3379446640316205,0.2845849802371542,0.1581027667984189,0.0051732059170606,0.0041569955499747,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,1012,8.0,1.3280632411067197,0.7509881422924901,0.1660079051383399,0.2490118577075099,0.3596837944664031,0.2519762845849802,0.1393280632411067,5.968306728976192e-05,0.000718377883962,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-xho_Latn,1012,8.0,1.3606719367588933,0.7579051383399209,0.1700839920948616,0.242094861660079,0.358695652173913,0.2411067193675889,0.1581027667984189,-0.0006154497916047,0.0014420517171795,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-hau_Latn,1012,8.0,1.4683794466403162,0.7776679841897233,0.1835474308300395,0.2223320158102766,0.3567193675889328,0.2440711462450593,0.1768774703557312,0.0063525839403212,0.0013764786567141,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,1012,8.0,1.2361660079051384,0.7144268774703557,0.1545207509881423,0.2855731225296443,0.3527667984189723,0.25,0.1116600790513833,0.0010144047738037,0.0010092959028593,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-som_Latn,1012,8.0,1.4802371541501975,0.7905138339920948,0.1850296442687747,0.2094861660079051,0.341897233201581,0.2776679841897233,0.1709486166007905,0.0047889028937213,0.0003955873104894,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,1012,8.0,1.3814229249011858,0.7579051383399209,0.1726778656126482,0.242094861660079,0.3725296442687747,0.2312252964426877,0.1541501976284585,-1.5338492605487808e-05,-0.0010207794871726,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,1012,8.0,1.383399209486166,0.7460474308300395,0.1729249011857707,0.2539525691699604,0.3221343873517787,0.2658102766798419,0.1581027667984189,0.000953731653483,-0.0003589253592868,actual target-text replacements after keep-higher
