group_type,group_value,num_settings,num_queries,avg_revised_demo_count,query_coverage,revised_demo_ratio,avg_delta_comet22_x100,avg_delta_qe_x100
language,eng_Latn-hau_Latn,9,9108,1.393939393939394,0.7697628458498024,0.17424242424242425,0.2774488077804457,0.14989203366470885
language,eng_Latn-plt_Latn,9,9108,1.2266139657444006,0.7009222661396575,0.15332674571805008,0.41278391328505226,0.22652520384122224
language,eng_Latn-som_Latn,9,9108,1.3932806324110671,0.7555994729907773,0.17416007905138334,0.45874283228152773,0.1402454947268258
language,eng_Latn-swh_Latn,9,9108,1.33300395256917,0.7351778656126482,0.16662549407114624,-0.01235677139586868,0.04870484194108418
language,eng_Latn-xho_Latn,9,9108,1.3461791831357048,0.747364953886693,0.16827239789196305,0.05466835356538999,-0.009531492746134441
