split,group,languages,n_per_language,xcomet_mean_x100,xcomet_std_x100,cv_xcomet,bottom20_xcomet_mean_x100,major_or_critical_percent,error_penalty_mean
dev,Chinese,1,997,85.55119500356308,13.013525995966033,0.15211390086864407,64.64000532031059,51.35406218655968,0.8978326406320353
dev,Low-resource average,5,997,59.33573599639484,20.668810481097687,0.3619959617725946,30.889903334528206,77.4924774322969,1.8365916100852915
devtest,Chinese,1,1012,85.61886334607723,12.881905431135824,0.1504563939264913,64.86183410794865,49.90118577075099,0.9026712985778995
devtest,Low-resource average,5,1012,56.888011857248806,20.868609139850214,0.3798005266929425,28.446769791430444,79.0711462450593,2.0182460096855537
