split,bottom20_n,original_xcomet_mean_x100,retranslated_xcomet_mean_x100,delta_retranslated_x100,improved_percentage,keep_higher_xcomet_mean_x100,delta_keep_higher_x100
dev,995,30.84498747584209,54.20016703743431,23.355179561592227,89.54773869346734,54.74149296406525,23.896505488223166
devtest,1010,28.402393540680997,53.646099458236506,25.24370591755551,91.58415841584159,54.00725543056384,25.60486188988284
overall,2005,29.614553623217297,53.9210606758434,24.3065070526261,90.57356608478803,54.371627672875015,24.757074049657717
