group_type,group_value,num_settings,num_queries,avg_revised_demo_count,query_coverage,revised_demo_ratio,avg_delta_comet22_x100,avg_delta_qe_x100
overall,all,45,45540,1.3386034255599473,0.7417654808959157,0.16732542819499338,0.2382574271033094,0.11116721628554134
retriever,bm25,15,15180,1.3339920948616601,0.7565217391304347,0.1667490118577075,0.14716563910756444,0.07340080064275929
retriever,gte,15,15180,1.3899209486166009,0.7573122529644268,0.1737401185770751,0.25471432069527317,0.13960959882078938
retriever,sonar,15,15180,1.291897233201581,0.7114624505928854,0.16148715415019763,0.3128923215070906,0.12049124939307532
