method,n,comet22_mean_x100,qe_mean_x100,delta_comet22_x100,comet22_wins,comet22_p,delta_qe_x100,qe_wins,qe_p
retriever_topk,45,56.45867802722293,47.441300968498396,0.0,,,0.0,,
error_filter,45,56.46877113391052,47.53268628280167,0.010093106687597716,22.0,0.8744365288858869,0.09138531430325811,26.0,0.04572786609238454
quality_rerank,45,56.5016910651933,47.50096089825054,0.04301303797035258,27.0,0.2542685036280744,0.059659929752128464,26.0,0.028539831133101903
error_rerank,45,56.61352987540436,47.59210719008914,0.1548518481814314,32.0,0.00046675964319868964,0.15080622159072132,32.0,0.0002043280317474382
quality_only,45,55.611200688417455,47.24411150847132,-0.8474773388054694,9.0,8.111724806017506e-07,-0.1971894600270804,20.0,0.09935625286420796
low_quality,45,54.10658641267046,46.03926854967396,-2.352091614552469,0.0,5.3576696687674605e-09,-1.402032418824445,2.0,6.5606174689680245e-09
random,45,54.8650654757434,46.66095507144273,-1.5936125514795452,2.0,7.504485671628345e-09,-0.7803458970556703,6.0,6.418318896728416e-08
zero_shot,15,48.4748382266886,43.675103226094194,,,,,,
