group,devtest_reference_count,output_rows,nan_rows_removed,reference_xcomet_mean_x100,comet22_mean_x100,qe_mean_x100,pearson,spearman,kendall
Low,1520,13678,2,32.516616508854845,53.97328530860533,44.95216553706945,0.7519591639621801,0.6898703760382829,0.5115168203941869
Mid,2020,18180,0,56.30583473803974,56.13642136239507,47.26077751685815,0.7859000024989063,0.7146826722020958,0.535856839876867
High,1520,13680,0,82.03308995617064,59.37264780976881,50.171395174026145,0.7977871698874683,0.7272426312966881,0.5479075805927106
