variant,n_settings,comet22_mean_x100,delta_comet22_x100,qe_mean_x100,delta_qe_x100
Odev/Odevtest,45,56.45867802722293,0.0,47.44130096849839,0.0
Rdev/Odevtest,45,56.69693545432622,0.23825742710331063,47.55246818478395,0.11116721628554409
Odev/Rdevtest,45,56.41031682407085,-0.04836120315207267,47.44130096849839,0.0
Rdev/Rdevtest,45,56.66831920059627,0.20964117337334115,47.55246818478395,0.11116721628554409
